amfi_code,date,nav,fund_name,fund_house,scheme_category
,2013-11-18,13.0894,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-11-19,13.1068,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-11-20,12.9549,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-11-21,12.7957,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-11-22,12.7775,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-11-25,12.8548,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-11-26,12.8591,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-11-27,12.8389,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-11-28,12.8773,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-11-29,12.9509,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-12-02,13.0012,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-12-03,13.0048,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-12-04,12.9799,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-12-05,13.0319,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-12-06,13.0439,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-12-09,13.0282,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-12-10,13.0325,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-12-11,13.0129,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-12-12,13.0021,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-12-13,12.9891,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-12-16,13.0345,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-12-17,12.9569,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-12-18,13.0672,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-12-19,13.1392,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-12-20,13.1776,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-12-23,13.1886,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
,2013-12-24,13.2683,,SBI Mutual Fund,Equity Scheme - Small Cap Fund
